,Tweet,Label
0,halo telkomsel benar lupa isi pulsa no telkomsel isi ulang nyata habis tenggang aktif terimakasih,Positif
1,masuk telkomsel kalo internet habis ya potong pulsa internet lgsg otomatis mati pemberitahuan sms kadang gaada pulsa habis pdhal isi banget kek gin nih terimakasih,Negatif
2,terimakasih gbnya telkomsel muah,Positif
3,telkomsel tsel dirumahaja sinyal tsel rumah lemah terimakasih telkomsel,Negatif
4,pulsa rb beli paket ketengean telkomsel yang harga rb dapet mb paket udah kebel udah sms konfirmasi cek kuota udah kuota pas ngidupin dasel internet nya lot nyata pulsa terimakasih telkomsel,Negatif
5,halo telkomsel beli paket gb aplikasi whatsapp gakada notif chat masuk ya ganggu emang gak yg ngechat ya mohon respon bantu ya terimakasih sun,Positif
6,lumayan gb terimakasih telkomsel,Positif
7,terimakasih indosatooredoo telkomsel yg malam minggu lebib asiik stayhome malamminggu,Positif
8,terimakasih kuota obat kegabutanku telkomsel,Positif
9,betah amp produktif bantu tim medis dirumahaja tolong kemkominfo telkomsel careindonesia indosatcare provider ikan signal kuat amp stabil terima kasih,Negatif
10,assalamualaikum nama warga desa muara takus terima kasih telkomsel yg cepat tanggap tanggap keluh jaring desa pulih telkomsel telkomsel telkomselriau,Positif
11,presiden jokowi perintah anjur work from home telkomsel dukung koneksi internet yang super lambat ngadat terima kasih telkomsel ngasi ide mesti nyari wi fi an biar work,Negatif
12,anut telkomsel gara kuliah online miskin bayang sodara minggu gb jerit hati mahasiswa telkomsel ikan beasiswa kuliah online zoom gmeet gclassroom terima kasih,Negatif
13,terima kasih indihome telkomsel yg sdh open all channel sd maret,Positif
14,terima kasih telkomsel sinyal rumah lumayan tseldirumahaja,Positif
15,moga telkomsel bantu rakyat free internet covid jalan himbauan social distancing keep in touch sanak saudara teman rekan kerja bisnis terimakasih saveindonesia telkomsel,Positif
16,tolong provider kasih kuota free indonesia lockdown meng akses info ter update terima kasih cc triindonesia telkomsel smartfrenworld indonesialockdown sumbarlockdown jabartanggapcovid,Positif
17,min telkomsel beli kuota tp yg gede kuota lokal telkomsel emang kaya gitu yah kartu as simpati engga aja terimakasih,Negatif
18,habis bikin tsel dirumahaja nyaranin pasang wifi aja rumah terimakasih telkomsel,Negatif
19,terimakasih telkomsel stay rumah aja wkwkw,Positif
20,dear telkomsel dirumahaja ga paket internetnya kasih murah maaf terima kasih suka sinyal tsel dirumahaja,Negatif
21,hi telkomsel mohon info paket telepon ptsn simpati halo terima kasih,Positif
22,hii telkomsel terimakasih mengingtkan rumah tsel dirumahaja covid,Positif
23,terimakasih telkomsel mahal kuota keteng,Negatif
24,self quarangine rumah ubah status gold langsung cus diamond terimakasih telkomsel,Negatif
25,dear telkomsel kemarin telkomsel ganggu trs sinyal g jd trs terima kasih,Negatif
26,terimakasih telkomsel keluh ku selesai internet udh normal,Positif
27,kuota habis hujung update gagal terimakasih telkomsel,Positif
28,yth telkomsel amp tmcpoldametro barusan no hp tipu orangtua rp rb nomer sy sdh kirim lapor telkomsel sms mohon batuannnya terima kasih,Positif
29,dear telkomsel indosatooredoo xlaxiata tbk terimakasih layan gratis kuota gb utk ilmupedia ruang guru but ajar ya buk yg mahasiswa jg yg kbnykan tatap muka kuliah pakai zoom meeting skype google classroom,Positif
30,lebar akses free gb siswa mahasiswa dpt akses terima kasih telkomsel,Positif
31,terima kasih telkomsel ruangguru,Positif
32,kemarin telkomsel ngasih gb gratis akses ruang guru aplikasi e learning terima kasih moga provider anak semangat ajar dirumahaja,Positif
33,mohon bantu ya telkomsel linkaja terima kasih,Positif
34,maaf min telkomsel udah telkomsel daerah banjar rejo kec batang lampung timur jaring internet lot ga kayak mohon terang tanggap terimakasih,Positif
35,maaf min telkomsel udah telkomsel daerah banjar rejo kec batang lampung timur jaring internet lot ga kayak mohon terang tanggap terimakasih,Positif
36,selawewu landub terima kasih telkomsel ngabarin kuota habis nyedot sisa pulsa,Negatif
37,please ya telkomsel bantu giat wfh jaga sinyal stabil gantung sepenuh sinyal internet terima kasih,Positif
38,terimakasih ruangguru adik dapet kuota gb telkomsel bantu,Positif
39,apresiasi banget ruangguru yang udah ngasih mudah anak bangsa kelas online gratis kerjasama nya telkomsel kuota gb rupiah terima kasih,Negatif
40,terima kasih ruangguru amp telkomsel bantu anak ajar wabah virus covid landa indonesia hikmah buah bencana,Positif
41,terimakasih telkomsel ruangguru anak anak ajar,Positif
42,kait ajar jarak yang butuh kuota internet harap provider turun harga kuota jangkau terima kasih telkomsel indosatcare xlaxiata tbk axisgsm smartfrenworld,Positif
43,selamat siang keluh by jaring internet jelek connect mohon terimakasih byu id telkomsel,Negatif
44,terima kasih ruangguru telkomsel anak senang ajar rumah,Positif
