,Unnamed: 0,Tweet,Label
0,0,halo telkomsel benar lupa isi pulsa no telkomsel isi ulang nyata habis tenggang aktif terimakasih,0
1,1,masuk telkomsel kalo internet habis ya potong pulsa internet lgsg otomatis mati pemberitahuan sms kadang gaada pulsa habis pdhal isi banget kek gin nih terimakasih,1
2,2,terimakasih gbnya telkomsel muah,0
3,3,telkomsel tsel dirumahaja sinyal tsel rumah lemah terimakasih telkomsel,1
4,4,pulsa rb beli paket ketengean telkomsel yang harga rb dapet mb paket udah kebel udah sms konfirmasi cek kuota udah kuota pas ngidupin dasel internet nya lot nyata pulsa terimakasih telkomsel,1
5,5,halo telkomsel beli paket gb aplikasi whatsapp gakada notif chat masuk ya ganggu emang gak yg ngechat ya mohon respon bantu ya terimakasih sun,0
6,6,lumayan gb terimakasih telkomsel,0
7,7,terimakasih indosatooredoo telkomsel yg malam minggu lebib asiik stayhome malamminggu,0
8,8,terimakasih kuota obat kegabutanku telkomsel,0
9,9,betah amp produktif bantu tim medis dirumahaja tolong kemkominfo telkomsel careindonesia indosatcare provider ikan signal kuat amp stabil terima kasih,1
10,10,assalamualaikum nama warga desa muara takus terima kasih telkomsel yg cepat tanggap tanggap keluh jaring desa pulih telkomsel telkomsel telkomselriau,0
11,11,presiden jokowi perintah anjur work from home telkomsel dukung koneksi internet yang super lambat ngadat terima kasih telkomsel ngasi ide mesti nyari wi fi an biar work,1
12,12,anut telkomsel gara kuliah online miskin bayang sodara minggu gb jerit hati mahasiswa telkomsel ikan beasiswa kuliah online zoom gmeet gclassroom terima kasih,1
13,13,terima kasih indihome telkomsel yg sdh open all channel sd maret,0
14,14,terima kasih telkomsel sinyal rumah lumayan tseldirumahaja,0
15,15,moga telkomsel bantu rakyat free internet covid jalan himbauan social distancing keep in touch sanak saudara teman rekan kerja bisnis terimakasih saveindonesia telkomsel,0
16,16,tolong provider kasih kuota free indonesia lockdown meng akses info ter update terima kasih cc triindonesia telkomsel smartfrenworld indonesialockdown sumbarlockdown jabartanggapcovid,0
17,17,min telkomsel beli kuota tp yg gede kuota lokal telkomsel emang kaya gitu yah kartu as simpati engga aja terimakasih,1
18,18,habis bikin tsel dirumahaja nyaranin pasang wifi aja rumah terimakasih telkomsel,1
19,19,terimakasih telkomsel stay rumah aja wkwkw,0
20,20,dear telkomsel dirumahaja ga paket internetnya kasih murah maaf terima kasih suka sinyal tsel dirumahaja,1
21,21,hi telkomsel mohon info paket telepon ptsn simpati halo terima kasih,0
22,22,hii telkomsel terimakasih mengingtkan rumah tsel dirumahaja covid,0
23,23,terimakasih telkomsel mahal kuota keteng,1
24,24,self quarangine rumah ubah status gold langsung cus diamond terimakasih telkomsel,1
25,25,dear telkomsel kemarin telkomsel ganggu trs sinyal g jd trs terima kasih,1
26,26,terimakasih telkomsel keluh ku selesai internet udh normal,0
27,27,kuota habis hujung update gagal terimakasih telkomsel,0
28,28,yth telkomsel amp tmcpoldametro barusan no hp tipu orangtua rp rb nomer sy sdh kirim lapor telkomsel sms mohon batuannnya terima kasih,0
29,29,dear telkomsel indosatooredoo xlaxiata tbk terimakasih layan gratis kuota gb utk ilmupedia ruang guru but ajar ya buk yg mahasiswa jg yg kbnykan tatap muka kuliah pakai zoom meeting skype google classroom,0
30,30,lebar akses free gb siswa mahasiswa dpt akses terima kasih telkomsel,0
31,31,terima kasih telkomsel ruangguru,0
32,32,kemarin telkomsel ngasih gb gratis akses ruang guru aplikasi e learning terima kasih moga provider anak semangat ajar dirumahaja,0
33,33,mohon bantu ya telkomsel linkaja terima kasih,0
34,34,maaf min telkomsel udah telkomsel daerah banjar rejo kec batang lampung timur jaring internet lot ga kayak mohon terang tanggap terimakasih,0
35,35,maaf min telkomsel udah telkomsel daerah banjar rejo kec batang lampung timur jaring internet lot ga kayak mohon terang tanggap terimakasih,0
36,36,selawewu landub terima kasih telkomsel ngabarin kuota habis nyedot sisa pulsa,1
37,37,please ya telkomsel bantu giat wfh jaga sinyal stabil gantung sepenuh sinyal internet terima kasih,0
38,38,terimakasih ruangguru adik dapet kuota gb telkomsel bantu,0
39,39,apresiasi banget ruangguru yang udah ngasih mudah anak bangsa kelas online gratis kerjasama nya telkomsel kuota gb rupiah terima kasih,1
40,40,terima kasih ruangguru amp telkomsel bantu anak ajar wabah virus covid landa indonesia hikmah buah bencana,0
41,41,terimakasih telkomsel ruangguru anak anak ajar,0
42,42,kait ajar jarak yang butuh kuota internet harap provider turun harga kuota jangkau terima kasih telkomsel indosatcare xlaxiata tbk axisgsm smartfrenworld,0
43,43,selamat siang keluh by jaring internet jelek connect mohon terimakasih byu id telkomsel,1
44,44,terima kasih ruangguru telkomsel anak senang ajar rumah,0
45,45,dear kemkominfo indosatcare myxl xlaxiata tbk telkomsel axisgsm smartfrenworld kampus alih daring kantor terap workfromhome moga kuota internet murah jaring stabil terima kasih,1
46,46,yth telkomsel maslahat wabah virus covid paket yg masuk kantong khusus diskon terimakasih,1
47,47,jokowi saran betah rumah tolong telkomsel indihome buka blokir netflixid biar kingdom bantu terima kasih,1
48,48,selamat siang admin telkomsel keluh pulsa laku pakai upa telpon sms pakai paket data mohon tanggap rugi terima kasih,1
49,49,selamat pagi nomor cek pulsa app telkomsel buka terima kasih telkomsel,0
50,50,me rangin ngecek wa sosmed ga aktif paket also me liat surprisedeal langsung beli kuota terimakasih telkomsel udah niat nya gagal,1
51,51,haloo telkomsel bilang akhir jaring mu masuk jam sore jelek daerah ku terima kasih,1
52,52,terima kasih info nya min telkomsel moga maju kendala dgn memaklumin usaha yg laku tim linkaja,1
53,53,terima kasih telkomsel mrmbuat henti main game henti langgan,1
54,54,dear telkomsel jaring internet utk daerah malu kabupaten buru selatan khusus terima kasih,0
55,55,halo telkomsel beli paket combo yg pake telp gratis mnt tp pulsa sll potong telfon sms tulis paket aktif tanggal maret terima kasih,1
56,56,halo telkomsel internet lokal pakai lokasi sesuai sisa kuota utama omg nol saran web blog orang udh dilakuin tetep gabisa mohon solusi cepat ya terimakasih,1
57,57,terima kasih telkomsel jaring yang bikin orang emosi solusi yang ikan bantu terima kasih,1
58,58,terima kasih indihome amp telkomsel sdh sulit netflix,1
59,59,tolong cek telkomsel no gak konek internet telkomsel terimakasih,1
60,60,halo telkomsel jaring internet hilang ya g mohon konfirmasi terima kasih,1
61,61,jaring telkomsel takengon aceh harap tangan terima kasih,1
62,62,alhamdulillah kuota telkomsel ku masuk gara voucher eror kmrn terimakasih admin telkomsel yg sabar nanggepin neng bgt nya kuota sy lg sabar,1
63,63,daftar extra kuota telkomsel terima kasih bantu limit,0
64,64,selamat pagi cs telkomsel no no sc telkomsel sms masuk no tawar upgrade paket kartu hallo terima kasih,0
65,65,hi telkomsel telkomcare mohon info jam operasional gerai grapari yg buka jakarta psbb langsung terimakasih,0
66,66,terima kasih telkomsel nyata teman teman ayo selesai preprocessinglelah bacaduluaja semangatpuasa telkomsel,1
67,67,terimakasih tangan dg telkomsel,0
68,68,terima kasih telkomsel gb k,0
69,69,btw terimakasih telkomsel sudaah sulit yang rumah aja,1
70,70,jam gadikasi koneksi koneksi muncul terima kasih telkomsel moga ga ilang ilang ya koneksi,1
71,71,terimakasih team cs yg shopeeid bwt bantu sy dpt ganti nmr lma kartuhalo telkomsel nmr krt halo sy yg masuk utk shopee user yg lbih dr thn wkt hapus akun yg tdk transaksi tdk susah,1
72,72,terima kasih telkomsel harga mahal layan muas ya gratis paket ya lockdown bikin susah paket wkwk,0
73,73,harap pandemi gin murah nyata paket internet terima kasih telkomsel,1
74,74,min telkomsel urus nomor yg tenggamg ya hubung grapari trdkat nomor sibuk mohon info terimakasih,1
75,75,terima kasih telkomsel henti henti kirim sms video kerja yang nyata henti sms yang masuk ulang kerja good job,0
76,76,minggu internet gabisa pakai lg kuota hangus terimakasih telkomsel,1
77,77,mohon maaf telkomsel kalo listrik mati jaring telkomsel hilang ya terimakasih,0
78,78,akhir bbrp kali kecewa telkomsel terimakasih,1
79,79,tingkat sistem telkomsel yang selesai dampak kualitas internet siang malam yang stabil rugi langgan untung telkomsel tindak terima kasih,1
80,80,telkomsel telkomsel isi pulsa cuman sms konfirmasi pulsa sukses cek my telkomsel koq pulsa tolong konfirmasi min trims isi ulang pulsa rp hasil sn terima kasih,1
81,81,min telkomsel kendala kalo terima kasih,1
82,82,selamat pagi telkomsel puk nomor iccid terimakasih,0
83,83,diisin pulsa telkomsel terima kasih telkomsel,0
84,84,terimakasih telkomsel sinyal stabil ajar online lancar gaming ngga lag,0
85,85,dear telkomsel mohon bantu respon yg kirim via direct message terimakasih,0
86,86,hi telkomsel sy perihal tagih kartu halo diluarnegri yang laku transaksi kali sms perbankang tagih data aktif ponsel tinggal lemari tolong terimakasih,1
87,87,hallo telkomsel terima kasih sinyal yang bagus kuliah online pas absen putus sinyal terima kasih layan harga,1
88,88,ngajar online gel kuping ya terimakasih telkomsel tlpn menit potong ribu eh gratis all operator cinta,1
89,89,konsul konksi internet telkomsel koneksi jelek terimakasih telkomsel,0
90,90,halo firstmediacares internet lancar terimakasih telkomsel,0
91,91,selamat pagi nanya aju proposal sponsorship kira syarat ya terimakasih wassalam indosatcare im ooredoo triindonesia telkomsel psfoundation pocariid,0
92,92,terima kasih telkomsel erti arti sabar yang sungguh,0
93,93,min telkomsel tolong paket keteng yang youtube mentok gb yang gb mahal gapapa ngeliat kompilasi idola bogeng terima kasih maulana adieb fadloly,0
94,94,terimakasih telkomsel sinyal jelek,1
95,95,mati listrik sinyal telkomsel awut awut gaboleh rumah kombinasi yang sebal terimakasih pln telkomsel dirumahaja suram,1
96,96,terimakasih telkomsel jaring stabil nomor simpati pake personal hotspot utk lancar kirim update kerja maklum xl no service dirumahaja,1
97,97,yth telkomselflash telkomsel rumah aja tolong jaring internet nya koreksi buruk jaring nya terima kasih,1
98,98,pagi telkomsel tolong nomer telkomsel tante ngga cek pulsa cek paket data ngga internetan dmkan nomernya terima kasih,1
99,99,tolong telkomsel indihome mohon kerjasamanya tolong jaring jele banget senin yg arti signal ganggu terima kasih,1
100,100,selamat malam telkomsel jaring rumah buruk tolong bantu biar internet lancar terima kasih,0
101,101,kalo perintah suruh rumah aja tolong internet telkomsel lancarin inyong arep online ndet ndetan internetnya tolong bantu dkijakarta aniesbaswedan biar gak boring didlm rumah terima kasih,1
102,102,dear telkomsel informasi sinyal tinggal bagus mohon arah bantu sinyal handphone lancar terima kasih,0
103,103,terima kasih telkomsel beli kuota hasil terima kabar iya,0
104,104,tolong tingkat layan jaring telkomsel daerah manggis jaring hilang terima kasih,0
105,105,dear telkomsel beli paket app my telkomsel error tolong banting terima kasih,1
106,106,pagi miin kartu telkomsel ku cek pulsa kirim sms gak ya min terima sms telpon mohon bantu min terimakasih,0
107,107,dear admin telkomsel mengaktivasi paket ya kali notifikasi hasil gagal mohon bantu ya terimakasih,0
108,108,terimakasih telkomsel,0
109,109,min telkomsel info kartu istri blokir grapari tutup mohon info solusi terima kasih,0
110,110,terimakasih layan eh sori sori udah minggu dibales telkomsel,1
111,111,halo telkomsel fitur linkaja tolong top up balance nya tambahin bca donk tsel yang terima kasih,1
112,112,terima kasih telkomsel jaring tetep aja defeat tim nub,0
113,113,terima kasih telkomsel kartu as tani thn kualitas yg buruk ny moveon,1
114,114,puasa latih sabar puasa sabar udh latih terima kasih telkomsel uji sabar wfh minggu,1
115,115,terimakasih telkomsel dengar keluh kemaren tolong tower daerah penuh butuh telkomsel telkomsel yg daerah tolong sahabat rindu akses lancar daerah,0
116,116,kak ga ganti kartu pandemi grapari tutup terima kasih telkomsel,0
117,117,halo admin telkomsel kait jaring telkomsel sinyal lemah mohon yang dirumahaja produktif terusbergerakmaju terima kasih,1
118,118,rumah pake wifi indihome hp ke pake telkomsel hp ke pake by down kerja ancur beranta terima kasih,1
119,119,terima kasih telkomsel gb nya,0
120,120,terima kasih telkomsel paket gb rp,0
121,121,dear telkomsel knp laku cek pulsa tdk dpt proses trs ya yg mohon bantu terimakasih,0
122,122,terimakasih telkomsel internet super murah gb rp dirumahaja telkomsel covid indonesia coronaindonesia,0
123,123,terimakasih kpu id yg ajar tata milu lansung moga adil sosial kemensosri terimakasih sinyal g telkomsel mudah an juang era industri itjen kemdikbud bangsatbangsa jokowi telkomsel,1
124,124,heii kak smartfrencare telkomsel ber janji yah nih sinyal jelek terimakasih kiki,1
125,125,dear telkomsel yth signal jelek kaya gin arti dukung gera dirumahaja mohon menggaggu produktifitas wfh terimakasih,0
126,126,neng kuliah online sinyal bagus cepat terima kasih telkomsel,0
127,127,pagi telkomsel paket data tinggal gb cek esok tinggal mb malam pakai apa kali nomor yang beda admin solusi sangkut kuliah online terima kasih,0
128,128,terimakasih telkomsel pulsa buang paket internet yang aktif gajelas yang salah pas nyari twitter nyata yang kayak gin ga ngerti langsung aktif paket gajelas,0
129,129,mohon harga linkaja ubah enak disetting diler mohon telkomsel nama diler mkn regional muara bungo propinsi jambi terimakasih,0
130,130,dear telkomsel aplikasi my telkomsel pilih paket data internet sekalli paket omg paket combo yang paket darurat daftar sms mohon tanggap terimakasih,1
131,131,selamat siang lapor nomor telepon nomor kenal negeri harap nomor telkomsel yang lindung mohon bantu telkomsel kemkominfo terimakasih,0
132,132,selamat siang lapor nomor telepon nomor kenal negeri harap nomor telkomsel yang lindung mohon bantu terimakasih telkomsel,0
133,133,selamat pagi telkomsel selamat siang lapor nomor telepon nomor kenal negeri harap nomor telkomsel yang lindung mohon bantu terimakasih,0
134,134,selamat pagi telkomsel lapor nomor telepon nomor kenal negeri harap nomor telkomsel yang lindung mohon bantu telkomsel terimakasih,0
135,135,terima kasih telkomsel berkat istighfar,0
