,Tweet,Label
0,halo telkomsel benar lupa isi pulsa no telkomsel isi ulang nyata habis tenggang aktif terimakasih,0
1,masuk telkomsel kalo internet habis ya potong pulsa internet lgsg otomatis mati pemberitahuan sms kadang gaada pulsa habis pdhal isi banget kek gin nih terimakasih,1
2,terimakasih gbnya telkomsel,0
3,telkomsel tsel dirumahaja sinyal tsel rumah lemah terimakasih telkomsel,1
4,pulsa rb beli paket telkomsel yang harga rb dapet mb paket udah udah sms konfirmasi cek kuota udah kuota pas internet nya lot nyata pulsa terimakasih telkomsel,1
5,halo telkomsel beli paket gb aplikasi whatsapp notif chat masuk ya ganggu emang gak yg ngechat ya mohon respon bantu ya terimakasih,0
6,lumayan gb terimakasih telkomsel,0
7,terimakasih indosatooredoo telkomsel yg malam minggu,0
8,terimakasih kuota telkomsel,0
9,betah amp produktif bantu tim dirumahaja tolong kemkominfo telkomsel careindonesia indosatcare provider ikan signal kuat amp stabil terima kasih,1
10,assalamualaikum nama warga desa muara takus terima kasih telkomsel yg cepat tanggap tanggap keluh jaring desa pulih telkomsel telkomsel telkomselriau,0
11,presiden jokowi perintah anjur work from home telkomsel dukung koneksi internet yang super lambat ngadat terima kasih telkomsel ngasi ide mesti nyari an biar work,1
12,telkomsel gara kuliah online miskin bayang sodara minggu gb hati mahasiswa telkomsel ikan kuliah online zoom terima kasih,1
13,terima kasih indihome telkomsel yg sdh open all channel sd maret,0
14,terima kasih telkomsel sinyal rumah lumayan,0
15,moga telkomsel bantu rakyat free internet covid jalan in saudara teman rekan kerja terimakasih telkomsel,0
16,tolong provider kasih kuota free indonesia lockdown akses info ter update terima kasih cc triindonesia telkomsel smartfrenworld,0
17,min telkomsel beli kuota tp yg gede kuota lokal telkomsel emang kaya gitu yah kartu as simpati engga aja terimakasih,1
18,habis bikin tsel dirumahaja pasang wifi aja rumah terimakasih telkomsel,1
19,terimakasih telkomsel stay rumah aja wkwkw,0
20,dear telkomsel dirumahaja ga paket internetnya kasih murah maaf terima kasih suka sinyal tsel dirumahaja,1
21,hi telkomsel mohon info paket telepon simpati halo terima kasih,0
22,telkomsel terimakasih rumah tsel dirumahaja covid,0
23,terimakasih telkomsel mahal kuota keteng,1
24,rumah ubah status gold langsung diamond terimakasih telkomsel,1
25,dear telkomsel kemarin telkomsel ganggu trs sinyal g jd trs terima kasih,1
26,terimakasih telkomsel keluh ku selesai internet udh normal,0
27,kuota habis update gagal terimakasih telkomsel,0
28,yth telkomsel amp tmcpoldametro barusan no hp tipu rp rb nomer sy sdh kirim lapor telkomsel sms mohon terima kasih,0
