,Tweet,Label
0,halo telkomsel isi pulsa telkomsel isi ulang nyata habis aktif terimakasih,0
1,masuk telkomsel kalo internet habis potong pulsa internet mati sms kadang pulsa habis isi banget terimakasih,1
2,terimakasih telkomsel,0
3,telkomsel telkomsel rumah sinyal telkomsel rumah terimakasih telkomsel,1
4,pulsa beli paket telkomsel harga dapet paket sms cek kuota kuota pas internet lot nyata pulsa terimakasih telkomsel,1
5,halo telkomsel beli paket aplikasi chat masuk ganggu memang mohon respon bantu terimakasih,0
6,lumayan terimakasih telkomsel,0
7,terimakasih telkomsel malam minggu,0
8,terimakasih kuota telkomsel,0
9,bantu rumah tolong kemkominfo telkomsel indosatcare provider signal kuat stabil terima kasih,1
10,nama desa terima kasih telkomsel cepat tanggap tanggap keluh jaring desa pulih telkomsel telkomsel,0
11,telkomsel dukung koneksi internet super lambat ngadat terima kasih telkomsel an biar,1
12,telkomsel gara kuliah online minggu hati telkomsel kuliah online zoom terima kasih,1
13,terima kasih indihome telkomsel,0
14,terima kasih telkomsel sinyal rumah lumayan,0
15,semoga telkomsel bantu internet jalan teman kerja terimakasih telkomsel,0
16,tolong provider kasih kuota indonesia akses info update terima kasih triindonesia telkomsel,0
17,min telkomsel beli kuota kuota telkomsel memang kaya gitu yah kartu as simpati terimakasih,1
18,habis bikin telkomsel rumah wifi rumah terimakasih telkomsel,1
19,terimakasih telkomsel rumah,0
20,telkomsel rumah paket internetnya kasih murah maaf terima kasih suka sinyal telkomsel rumah,1
21,telkomsel mohon info paket telepon simpati halo terima kasih,0
22,telkomsel terimakasih rumah telkomsel rumah,0
23,terimakasih telkomsel mahal kuota,1
24,rumah ubah langsung terimakasih telkomsel,1
25,telkomsel kemarin telkomsel ganggu sinyal terima kasih,1
26,terimakasih telkomsel keluh selesai internet udh normal,0
27,kuota habis update gagal terimakasih telkomsel,0
28,telkomsel hp tipu nomer kirim lapor telkomsel sms mohon terima kasih,0
29,telkomsel xlaxiata tbk terimakasih layan gratis kuota utk ajar jg kuliah pakai zoom,0
30,akses akses terima kasih telkomsel,0
31,terima kasih telkomsel,0
32,kemarin telkomsel gratis akses aplikasi terima kasih semoga provider anak ajar rumah,0
33,mohon bantu telkomsel linkaja terima kasih,0
34,maaf min telkomsel telkomsel daerah lampung timur jaring internet lot kayak mohon tanggap terimakasih,0
35,maaf min telkomsel telkomsel daerah lampung timur jaring internet lot kayak mohon tanggap terimakasih,0
36,terima kasih telkomsel kuota habis sisa pulsa,1
37,tolong telkomsel bantu sinyal stabil sinyal internet terima kasih,0
38,terimakasih dapet kuota telkomsel bantu,0
39,banget anak online gratis telkomsel kuota terima kasih,1
40,terima kasih telkomsel bantu anak ajar indonesia,0
41,terimakasih telkomsel anak anak ajar,0
42,kait ajar butuh kuota internet harap provider turun harga kuota terima kasih telkomsel indosatcare xlaxiata tbk,0
43,selamat siang keluh jaring internet jelek mohon terimakasih byu id telkomsel,1
44,terima kasih telkomsel anak ajar rumah,0
45,kemkominfo indosatcare myxl xlaxiata tbk telkomsel kantor semoga kuota internet murah jaring stabil terima kasih,1
46,telkomsel paket masuk khusus terimakasih,1
47,saran rumah tolong telkomsel indihome buka blokir netflixid biar bantu terima kasih,1
48,selamat siang admin telkomsel keluh pulsa laku pakai telepon sms pakai paket data mohon tanggap rugi terima kasih,1
49,selamat pagi nomor cek pulsa app telkomsel buka terima kasih telkomsel,0
50,wa aktif paket langsung beli kuota terimakasih telkomsel gagal,1
51,telkomsel bilang jaring mu masuk jam sore jelek daerah terima kasih,1
52,terima kasih info min telkomsel semoga kendala laku linkaja,1
53,terima kasih telkomsel henti main game henti langgan,1
54,telkomsel jaring internet utk daerah kabupaten selatan khusus terima kasih,0
55,halo telkomsel beli paket combo pake telepon gratis pulsa potong sms paket aktif tanggal terima kasih,1
56,halo telkomsel internet pakai lokasi sisa kuota utama saran orang udh tetep mohon solusi cepat terimakasih,1
57,terima kasih telkomsel jaring bikin orang emosi solusi bantu terima kasih,1
58,terima kasih indihome telkomsel sulit netflix,1
59,tolong cek telkomsel internet telkomsel terimakasih,1
60,halo telkomsel jaring internet hilang mohon terima kasih,1
61,jaring telkomsel aceh harap tangan terima kasih,1
62,alhamdulillah kuota telkomsel masuk gara terimakasih admin telkomsel sabar kuota sabar,1
63,daftar kuota telkomsel terima kasih bantu,0
64,selamat pagi cs telkomsel telkomsel sms masuk paket kartu halo terima kasih,0
65,telkomsel telkomcare mohon info jam grapari buka jakarta langsung terimakasih,0
66,terima kasih telkomsel nyata teman teman selesai telkomsel,1
67,terimakasih tangan telkomsel,0
68,terima kasih telkomsel,0
69,terimakasih telkomsel sulit rumah,1
70,jam koneksi koneksi muncul terima kasih telkomsel semoga ilang ilang koneksi,1
71,terimakasih cs bantu ganti kartuhalo telkomsel halo masuk utk tdk transaksi tdk susah,1
72,terima kasih telkomsel harga mahal layan muas gratis paket bikin susah paket,0
73,harap murah nyata paket internet terima kasih telkomsel,1
74,min telkomsel nomor hubung grapari nomor mohon info terimakasih,1
75,terima kasih telkomsel henti henti kirim sms video kerja nyata henti sms masuk ulang kerja,0
76,minggu internet pakai kuota terimakasih telkomsel,1
77,mohon maaf telkomsel kalo listrik mati jaring telkomsel hilang terimakasih,0
78,kecewa telkomsel terimakasih,1
79,tingkat sistem telkomsel selesai kualitas internet siang malam stabil rugi langgan untung telkomsel tindak terima kasih,1
80,telkomsel telkomsel isi pulsa cuman sms pulsa sukses cek my telkomsel pulsa tolong min isi ulang pulsa hasil terima kasih,1
81,min telkomsel kendala kalo terima kasih,1
82,selamat pagi telkomsel nomor terimakasih,0
83,pulsa telkomsel terima kasih telkomsel,0
84,terimakasih telkomsel sinyal stabil ajar online lancar,0
85,telkomsel mohon bantu respon kirim via terimakasih,0
86,telkomsel tagih kartu halo laku transaksi sms tagih data aktif tinggal tolong terimakasih,1
87,halo telkomsel terima kasih sinyal bagus kuliah online pas putus sinyal terima kasih layan harga,1
88,online terimakasih telkomsel menit potong ribu gratis operator,1
89,internet telkomsel koneksi jelek terimakasih telkomsel,0
90,halo internet lancar terimakasih telkomsel,0
91,selamat pagi nanya terimakasih indosatcare triindonesia telkomsel,0
92,terima kasih telkomsel sabar,0
93,min telkomsel tolong paket youtube mahal terima kasih,0
94,terimakasih telkomsel sinyal jelek,1
95,mati listrik sinyal telkomsel rumah terimakasih pln telkomsel rumah,1
96,terimakasih telkomsel jaring stabil nomor simpati pake utk lancar kirim update kerja rumah,1
97,telkomsel rumah tolong jaring internet buruk jaring terima kasih,1
98,pagi telkomsel tolong nomer telkomsel cek pulsa cek paket data internetan terima kasih,1
99,tolong telkomsel indihome mohon tolong jaring banget signal ganggu terima kasih,1
100,selamat malam telkomsel jaring rumah buruk tolong bantu biar internet lancar terima kasih,0
101,kalo suruh rumah tolong internet telkomsel online internetnya tolong bantu biar rumah terima kasih,1
102,telkomsel informasi sinyal tinggal bagus mohon bantu sinyal handphone lancar terima kasih,0
103,terima kasih telkomsel beli kuota hasil terima,0
104,tolong tingkat layan jaring telkomsel daerah jaring hilang terima kasih,0
105,telkomsel beli paket app my telkomsel error tolong terima kasih,1
106,pagi kartu telkomsel cek pulsa kirim sms min terima sms telepon mohon bantu min terimakasih,0
107,admin telkomsel paket hasil gagal mohon bantu terimakasih,0
108,terimakasih telkomsel,0
109,min telkomsel info kartu blokir grapari mohon info solusi terima kasih,0
110,terimakasih layan minggu telkomsel,1
111,halo telkomsel linkaja tolong telkomsel terima kasih,1
112,terima kasih telkomsel jaring tetep,0
113,terima kasih telkomsel kartu as kualitas buruk,1
114,sabar sabar udh terima kasih telkomsel sabar minggu,1
115,terimakasih telkomsel keluh kemaren tolong tower daerah penuh butuh telkomsel telkomsel daerah tolong akses lancar daerah,0
116,ganti kartu grapari terima kasih telkomsel,0
117,halo admin telkomsel kait jaring telkomsel sinyal mohon rumah terima kasih,1
118,rumah pake wifi indihome hp pake telkomsel hp pake down kerja terima kasih,1
119,terima kasih telkomsel,0
120,terima kasih telkomsel paket,0
121,telkomsel laku cek pulsa tdk proses mohon bantu terimakasih,0
122,terimakasih telkomsel internet super murah rumah telkomsel indonesia,0
123,terimakasih id ajar semoga terimakasih sinyal telkomsel an telkomsel,1
124,telkomsel yah sinyal jelek terimakasih,1
125,telkomsel signal jelek kaya dukung rumah mohon terimakasih,0
126,kuliah online sinyal bagus cepat terima kasih telkomsel,0
127,pagi telkomsel paket data tinggal cek tinggal malam pakai nomor admin solusi kuliah online terima kasih,0
128,terimakasih telkomsel pulsa paket internet aktif salah pas twitter nyata kayak langsung aktif paket,0
129,mohon harga linkaja ubah mohon telkomsel nama terimakasih,0
130,telkomsel aplikasi my telkomsel pilih paket data internet paket paket combo paket daftar sms mohon tanggap terimakasih,1
