Tweet,Label
"Halo @Telkomsel , saya benar2 kelupaan tidak isi pulsa no telkomsel saya,  dan disaat mau isi ulang selalu tidak bisa dan ternyata sudah habis masa tenggang.. Bagaimana caranya agar bisa aktif lagi..  Terimakasih.",Positif
"Masukan buat @Telkomsel kalo internet habis ya jangan potong pulsa dong, internet lgsg otomatis mati juga kan pemberitahuan lewat sms pun kadang gaada tahu-tahu pulsa habis pdhal baru isi. Sering banget kek gini nih kasusnya terimakasih 🙂",Negatif
terimakasih 30gbnya @Telkomsel muah,Positif
"Telkomsel: Tsel-DiRumahAja

Tapi sekarang sinyal tsel dirumah terlalu lemah, terimakasih :* @Telkomsel",Negatif
"punya pulsa 15rb beli paket ketengean @Telkomsel yang harga 3rb dapet 500mb, paket udah kebeli udah ada sms konfirmasi, cek kuota juga udah ada kuotanya, pas ngidupin dasel kok internet nya lemot, ternyata pulsa sudah 0. terimakasih @Telkomsel",Negatif
"Halo @Telkomsel saya membeli paket 30GB melalui aplikasi, tapi Kok Whatsapp saya gakada notif chat masuk ya, lagi gangguan apa emang gak ada yg ngechat saya ya. Mohon di respon dan bantuannya ya
Terimakasih ~ Sun",Positif
"Lumayan 30GB, terimakasih @Telkomsel",Positif
"Terimakasih buat @IndosatOoredoo Dan @Telkomsel  yg buat malam minggu lebib asiik
#StayHome #malamminggu",Positif
"Terimakasih, sebab kuota banyakmu telah mengobati kegabutanku. @Telkomsel",Positif
"Agar kami betah &amp; produktif, serta turut membantu tim medis dengan #dirumahaja, saya minta tolong untuk @kemkominfo: @Telkomsel @3CareIndonesia @IndosatCare dan provider lainnya, berikan kami signal kuat &amp; stabil. Terima kasih 💛💙",Negatif
"Assalamualaikum 
Kami atas nama warga desa muara takus mengucapkan terima kasih kepada pihak Telkomsel yg sudah cepat tanggap menanggapi keluhan kami, sekarang jaringan di desa kami sudah pulih seperti biasanya 🙏
@Telkomsel #telkomsel #telkomselriau",Positif
"Pak Presiden @jokowi / pemerintah menganjurkan work from home .
Dan @Telkomsel mendukungnya dengan koneksi internet yang super lambat dan ngadat2.

Terima kasih @Telkomsel karena sudah ngasi ide mesti nyari Wi-Fi an biar bisa work.😋😋",Negatif
"Sebagai penganut @Telkomsel gara"" kuliah online, tiba tiba jadi miskin. bayangkan sodara"" seminggu 7GB, menjerit hati ini sebagai mahasiswa. kepada @Telkomsel berikan saya beasiswa kuliah online, untuk zoom, gmeet, gclassroom. Terima kasih",Negatif
Terima kasih @IndiHome @Telkomsel yg sdh open all channel sd 31 Maret 2020,Positif
Terima kasih @Telkomsel ... sekarang sinyal di rumah saya sudah lumayan baik... Sekarang sudah bisa #TselDiRumahAja,Positif
"Semoga @Telkomsel bisa membantu rakyatnya dengan memberikan free internet selama kasus covid 19, sejalan dengan himbauan social distancing ini agar kami masih bisa keep in touch dengan sanak saudara, teman, rekan kerja/bisnis. 
Terimakasih.
#saveindonesia #telkomsel",Positif
"Tolong untuk semua Provider kasih kami 1 bulan kuota Free jika memungkinkan Indonesia Lockdown. Supaya bisa meng akses info2 ter update. Terima kasih 🙏
Cc : @triindonesia @Telkomsel @smartfrenworld 
#indonesialockdown #SumbarLockdown #JabarTanggapCovid19",Positif
"Min @Telkomsel 
Mau beli kuota tp yg gede kuota lokal..
Telkomsel emang kaya gitu semua yah..
Apa cuma kartu as, simpati engga,, apa sama aja..
Terimakasih",Negatif
"habis bikin Tsel-DiRumahAja
dan sekarang nyaranin untuk pasang wifi aja dirumah
terimakasih @Telkomsel",Negatif
Terimakasih @Telkomsel sudah di ingatkan tetap stay dirumah aja wkwkw.,Positif
"Dear @Telkomsel 

Karena kita harus #dirumahaja
Boleh ga paket internetnya dikasih lebih murah. Maafkan permintaannya kelewatan.
Terima kasih

(Saya suka di sinyal ada Tsel-DiRumahAja)",Negatif
"Hi @Telkomsel, mohon info paket telepon untuk ke PTSN dari simpati/ halo.. terima kasih sebelumnya..",Positif
"Hii @Telkomsel, terimakasih sudah mengingtkan untuk dirumah :) #Tsel-DiRumahAja #COVIDー19",Positif
Terimakasih @Telkomsel walau mahal kuota ketenganmu sangat berguna saat ini. 👍,Negatif
"Self quarangine di rumah mengubah statusku Dari gold langsung cus diamond ,Terimakasih @Telkomsel ❤️",Negatif
"Dear @Telkomsel mengapa dari kemarin Telkomsel gangguan trs sinyal dari 4G jd H+ trs, terima kasih banyak",Negatif
terimakasih @Telkomsel keluhan ku sudah diselesaikan dan internet udh normal 🙏🏻,Positif
"Kuota habis, di penghujung update gagal. Terimakasih @Telkomsel",Positif
"Yth @Telkomsel &amp; @TMCPoldaMetro barusan no hp ini 081361069971, 081360268209, 082140016936 telah menipu orangtua saya sebesar Rp.100rb per nomer, dan sy sdh kirim laporan ke Telkomsel serta SMS ke 1166, mohon batuannnya. Terima kasih.",Positif
"Dear @Telkomsel @IndosatOoredoo @XLAxiata_Tbk , terimakasih atas layanan gratis kuota 30 GB utk ilmupedia dan ruang guru. But, itukan buat pelajar ya pak buk, buat yg mahasiswa jg dong yg kbnykan tatap muka perkuliahan pakai zoom meeting, skype, google classroom :)",Positif
"Makin melebar aksesnya, free 30gb bukan cuma buat siswa, mahasiswa pun dpt aksesnya. Terima kasih @Telkomsel",Positif
Terima kasih @Telkomsel dan @ruangguru,Positif
"Dari beberapa hari kemarin @Telkomsel juga ngasih 30GB gratis untuk akses ke Ruang Guru dan aplikasi e-learning lain. Terima kasih 🙏😇

Semoga bisa diikuti oleh provider² lain. Dan anak² tetap semangat belajar selama #DiRumahAja",Positif
Mohon dibantu ya @Telkomsel @linkaja terima kasih,Positif
