,item,value
0,halo,125
1,telkomsel,2429
2,benar,4
3,lupa,6
4,isi,64
5,pulsa,150
6,no,46
7,ulang,24
8,nyata,38
9,habis,34
10,tenggang,5
11,aktif,45
12,terimakasih,495
13,masuk,90
14,kalo,55
15,internet,243
16,ya,267
17,potong,29
18,lgsg,3
19,otomatis,8
20,mati,63
21,pemberitahuan,4
22,sms,54
23,kadang,30
24,gaada,9
25,pdhal,6
26,banget,153
27,kek,24
28,gin,69
29,nih,53
30,gbnya,2
31,muah,1
32,tsel,28
33,dirumahaja,15
34,sinyal,257
35,rumah,79
36,lemah,9
37,rb,24
38,beli,119
39,paket,255
40,ketengean,1
41,yang,250
42,harga,52
43,dapet,27
44,mb,7
45,udah,151
46,kebel,1
47,konfirmasi,10
48,cek,77
49,kuota,210
50,pas,36
51,ngidupin,1
52,dasel,1
53,nya,220
54,lot,148
55,gb,102
56,aplikasi,27
57,whatsapp,5
58,gakada,1
59,notif,8
60,chat,11
61,ganggu,72
62,emang,20
63,gak,144
64,yg,225
65,ngechat,2
66,mohon,274
67,respon,23
68,bantu,174
69,sun,1
70,lumayan,13
71,indosatooredoo,7
72,malam,76
73,minggu,88
74,lebib,1
75,asiik,1
76,stayhome,1
77,malamminggu,1
78,obat,1
79,kegabutanku,1
80,betah,3
81,amp,45
82,produktif,2
83,tim,5
84,medis,1
85,tolong,250
86,kemkominfo,25
87,careindonesia,7
88,indosatcare,28
89,provider,81
90,ikan,6
91,signal,35
92,kuat,13
93,stabil,81
94,terima,614
95,kasih,619
96,assalamualaikum,9
97,nama,11
98,warga,8
99,desa,42
100,muara,4
101,takus,3
102,cepat,53
103,tanggap,28
104,keluh,35
105,jaring,1307
106,pulih,12
107,telkomselriau,2
108,presiden,4
109,jokowi,10
110,perintah,5
111,anjur,3
112,work,3
113,from,4
114,home,4
115,dukung,11
116,koneksi,54
117,super,14
118,lambat,28
119,ngadat,12
120,ngasi,3
121,ide,2
122,mesti,2
123,nyari,5
124,wi,1
125,fi,1
126,an,21
127,biar,24
128,anut,1
129,gara,25
130,kuliah,21
131,online,36
132,miskin,2
133,bayang,2
134,sodara,2
135,jerit,1
136,hati,11
137,mahasiswa,5
138,beasiswa,1
139,zoom,15
140,gmeet,1
141,gclassroom,1
